state_code,state,population,male_population,female_population,literate,male_literate,female_literate,age_0_6,male_age_0_6,female_age_0_6,population_7plus,male_7plus,female_7plus,literacy_rate,male_literacy,female_literacy,gender_gap
01,State - JAMMU & KASHMIR,12541302,6640662,5900640,7067233,4264671,2802562,2018905,1084355,934550,10522397,5556307,4966090,67.16371754458609,76.75369629503913,56.433975219941644,20.31972107509749
02,State - HIMACHAL PRADESH,6864602,3481873,3382729,5039736,2752590,2287146,777898,407459,370439,6086704,3074414,3012290,82.79909783685883,89.53218401945867,75.92715176825604,13.60503225120263
03,State - PUNJAB,27743338,14639465,13103873,18707137,10436056,8271081,3076219,1665994,1410225,24667119,12973471,11693648,75.83835388315919,80.44151021727339,70.73140050051104,9.710109716762346
04,State - CHANDIGARH,1055450,580663,474787,805438,465346,340092,119434,63536,55898,936016,517127,418889,86.04959744277876,89.98679241269552,81.18905008248008,8.797742330215442
05,State - UTTARAKHAND,10086292,5137773,4948519,6880953,3863708,3017245,1355814,717199,638615,8730478,4420574,4309904,78.81530656167966,87.40285763794475,70.00724378083595,17.3956138571088
06,State - HARYANA,25351462,13494734,11856728,16598988,9794067,6804921,3380721,1843109,1537612,21970741,11651625,10319116,75.55042408446762,84.05751987383734,65.94480573723564,18.112714136601696
07,State - NCT OF DELHI,16787941,8987326,7800615,12737767,7194856,5542911,2012454,1075440,937014,14775487,7911886,6863601,86.20877944666054,90.9373062250897,80.7580597998048,10.179246425284902
08,State - RAJASTHAN,68548437,35550997,32997440,38275282,23688412,14586870,10649504,5639176,5010328,57898933,29911821,27987112,66.10705934770853,79.19414869459135,52.11995435613363,27.074194338457716
09,State - UTTAR PRADESH,199812341,104480510,95331831,114397555,68234964,46162591,30791331,16185581,14605750,169021010,88294929,80726081,67.68244669701122,77.28072809254991,57.18423392806595,20.096494164483957
10,State - BIHAR,104099452,54278157,49821295,52504553,31608023,20896530,19133964,9887239,9246725,84965488,44390918,40574570,61.79515263891617,71.2038056973726,51.50154394735422,19.70226175001838
11,State - SIKKIM,610577,323070,287507,444952,251269,193683,64111,32761,31350,546466,290309,256157,81.42354693613143,86.55225983348777,75.61105103510738,10.941208798380387
12,State - ARUNACHAL PRADESH,1383727,713912,669815,766005,439868,326137,212188,107624,104564,1171539,606288,565251,65.38450704586019,72.55099886522576,57.69773074262584,14.853268122599921
13,State - NAGALAND,1978502,1024649,953853,1342434,723957,618477,291071,149785,141286,1687431,874864,812567,79.55489735580299,82.7508046965014,76.11396967880802,6.636835017693386
14,State - MANIPUR,2855794,1438586,1417208,1908476,1039858,868618,375357,194484,180873,2480437,1244102,1236335,76.94111964948111,83.58301811266278,70.25749493462531,13.325523178037471
15,State - MIZORAM,1097206,555339,541867,848175,438529,409646,168531,85561,82970,928675,469778,458897,91.33173607559158,93.34813465083508,89.26752626406362,4.080608386771459
16,State - TRIPURA,3673917,1874376,1799541,2804783,1501369,1303414,458014,234008,224006,3215903,1640368,1575535,87.21603232435804,91.52635262331378,82.72834307076644,8.798009552547342
17,State - MEGHALAYA,2966889,1491832,1475057,1785005,913879,871126,568536,288646,279890,2398353,1203186,1195167,74.4262833702962,75.95492301273453,72.88738728562619,3.0675357271083357
18,State - ASSAM,31205576,15939443,15266133,19177977,10568639,8609338,4638130,2363485,2274645,26567446,13575958,12991488,72.18600162017832,77.84820047321891,66.26906786966974,11.57913260354917
19,State - WEST BENGAL,91276115,46809027,44467088,61538281,33818810,27719471,10581466,5410396,5171070,80694649,41398631,39296018,76.26067126210562,81.69064817626457,70.54015243987317,11.150495736391406
20,State - JHARKHAND,32988134,16930315,16057819,18328069,10882519,7445550,5389495,2767147,2622348,27598639,14163168,13435471,66.40932185097968,76.83675714359951,55.41711191219124,21.419645231408275
21,State - ODISHA,41974218,21212136,20762082,26742595,15089681,11652914,5273194,2716497,2556697,36701024,18495639,18205385,72.86607316460707,81.58507527098685,64.00806135107827,17.57701391990858
22,State - CHHATTISGARH,25545198,12832895,12712303,15379922,8807893,6572029,3661689,1859935,1801754,21883509,10972960,10910549,70.28087680088234,80.26907051515725,60.23554818368901,20.03352233146824
23,State - MADHYA PRADESH,72626809,37612306,35014503,42851169,25174328,17676841,10809395,5636172,5173223,61817414,31976134,29841280,69.31892848186759,78.72849169321094,59.23620233448431,19.49228935872663
24,State - GUJARAT,60439692,31491260,28948432,41093358,23474873,17618485,7777262,4115384,3661878,52662430,27375876,25286554,78.03164039335063,85.75021672365844,69.67531044364527,16.074906280013167
25,State - DAMAN & DIU,243247,150301,92946,188406,124643,63763,26934,14144,12790,216313,136157,80156,87.09878740528771,91.54358571355127,79.54863017116622,11.994955542385043
26,State - DADRA & NAGAR HAVELI,343709,193760,149949,223230,142521,80709,50895,26431,24464,292814,167329,125485,76.23610892921786,85.17411805485003,64.31764752759294,20.856470527257088
27,State - MAHARASHTRA,112374333,58243056,54131277,81554290,45257584,36296706,13326517,7035391,6291126,99047816,51207665,47840151,82.33830213883768,88.38048756958553,75.87080149475281,12.509686074832715
28,State - ANDHRA PRADESH,84580777,42442146,42138631,50556760,28251243,22305517,9142802,4714950,4427852,75437975,37727196,37710779,67.01765258147505,74.88296506318677,59.148916016823726,15.734049046363047
29,State - KARNATAKA,61095297,30966657,30128640,40647322,22508471,18138851,7161033,3675291,3485742,53934264,27291366,26642898,75.36456231237345,82.47469547695047,68.0813738805741,14.393321596376367
30,State - GOA,1458545,739140,719405,1165487,615823,549664,144611,74460,70151,1313934,664680,649254,88.70209614790393,92.64954564602516,84.66085692194426,7.988688724080902
