state_code,state,population,male_population,female_population,literate,male_literate,female_literate
01,State - JAMMU & KASHMIR,12541302,6640662,5900640,7067233,4264671,2802562
02,State - HIMACHAL PRADESH,6864602,3481873,3382729,5039736,2752590,2287146
03,State - PUNJAB,27743338,14639465,13103873,18707137,10436056,8271081
04,State - CHANDIGARH,1055450,580663,474787,805438,465346,340092
05,State - UTTARAKHAND,10086292,5137773,4948519,6880953,3863708,3017245
06,State - HARYANA,25351462,13494734,11856728,16598988,9794067,6804921
07,State - NCT OF DELHI,16787941,8987326,7800615,12737767,7194856,5542911
08,State - RAJASTHAN,68548437,35550997,32997440,38275282,23688412,14586870
09,State - UTTAR PRADESH,199812341,104480510,95331831,114397555,68234964,46162591
10,State - BIHAR,104099452,54278157,49821295,52504553,31608023,20896530
11,State - SIKKIM,610577,323070,287507,444952,251269,193683
12,State - ARUNACHAL PRADESH,1383727,713912,669815,766005,439868,326137
13,State - NAGALAND,1978502,1024649,953853,1342434,723957,618477
14,State - MANIPUR,2855794,1438586,1417208,1908476,1039858,868618
15,State - MIZORAM,1097206,555339,541867,848175,438529,409646
16,State - TRIPURA,3673917,1874376,1799541,2804783,1501369,1303414
17,State - MEGHALAYA,2966889,1491832,1475057,1785005,913879,871126
18,State - ASSAM,31205576,15939443,15266133,19177977,10568639,8609338
19,State - WEST BENGAL,91276115,46809027,44467088,61538281,33818810,27719471
20,State - JHARKHAND,32988134,16930315,16057819,18328069,10882519,7445550
21,State - ODISHA,41974218,21212136,20762082,26742595,15089681,11652914
22,State - CHHATTISGARH,25545198,12832895,12712303,15379922,8807893,6572029
23,State - MADHYA PRADESH,72626809,37612306,35014503,42851169,25174328,17676841
24,State - GUJARAT,60439692,31491260,28948432,41093358,23474873,17618485
25,State - DAMAN & DIU,243247,150301,92946,188406,124643,63763
26,State - DADRA & NAGAR HAVELI,343709,193760,149949,223230,142521,80709
27,State - MAHARASHTRA,112374333,58243056,54131277,81554290,45257584,36296706
28,State - ANDHRA PRADESH,84580777,42442146,42138631,50556760,28251243,22305517
29,State - KARNATAKA,61095297,30966657,30128640,40647322,22508471,18138851
30,State - GOA,1458545,739140,719405,1165487,615823,549664
31,State - LAKSHADWEEP,64473,33123,31350,52553,28023,24530
32,State - KERALA,33406061,16027412,17378649,28135824,13704903,14430921
33,State - TAMIL NADU,72147030,36137975,36009055,51837507,28040491,23797016
34,State - PUDUCHERRY,1247953,612511,635442,957309,497378,459931
35,State - ANDAMAN & NICOBAR ISLANDS,380581,202871,177710,294281,164377,129904
